"protein","coef","fold","PROBEID","GENENAME","UNIPROT"
"ALDH3B1",-0.167845166180236,2,"12940-35","aldehyde dehydrogenase 3 family member B1","A3FMP9"
"ANGPT1",-0.0206326725986167,4,"2811-27","angiopoietin 1","B4E3G9"
"FABP4",-0.170209303488629,1,"15386-7","fatty acid binding protein 4","E7DVW4"
"FABP4",-0.225437109594028,5,"15386-7","fatty acid binding protein 4","E7DVW4"
"FABP4",-0.137471579216734,2,"15386-7","fatty acid binding protein 4","E7DVW4"
"FABP4",-0.161134671136689,3,"15386-7","fatty acid binding protein 4","E7DVW4"
"FABP4",-0.138175139288446,4,"15386-7","fatty acid binding protein 4","E7DVW4"
"GCH1",0.230971765727245,5,"11185-145","GTP cyclohydrolase 1","P30793"
"GCH1",0.216978117214314,1,"11185-145","GTP cyclohydrolase 1","P30793"
"GCH1",0.355141113319858,2,"11185-145","GTP cyclohydrolase 1","P30793"
"GCH1",0.281024329698158,3,"11185-145","GTP cyclohydrolase 1","P30793"
"GCH1",0.269865766230788,4,"11185-145","GTP cyclohydrolase 1","P30793"
"GHRL",-0.244084471030831,3,"23581-131","ghrelin and obestatin prepropeptide","Q9UBU3"
"GNLY",0.259140865795731,3,"14102-6","granulysin","B4E3H9"
"GNLY",0.292614487399116,2,"14102-6","granulysin","B4E3H9"
"GNLY",0.0797085013888153,5,"14102-6","granulysin","B4E3H9"
"GNLY",0.165608803270237,4,"14102-6","granulysin","B4E3H9"
"HGD",-0.0330336694360256,4,"9832-33","homogentisate 1,2-dioxygenase","A8K417"
"INHA",0.137282618676287,2,"25921-3","inhibin subunit alpha","A8K8H5"
"ISG15",0.0386281831671556,1,"14148-2","ISG15 ubiquitin like modifier","A0A096LPJ4"
"ISG15",0.0640694476120772,2,"14148-2","ISG15 ubiquitin like modifier","A0A096LPJ4"
"ISG15",0.110886034417789,4,"14148-2","ISG15 ubiquitin like modifier","A0A096LPJ4"
"MCF2L",-0.400054968295621,2,"13934-3","MCF.2 cell line derived transforming sequence like","H7C275"
"MCF2L",-0.079027902501244,3,"13934-3","MCF.2 cell line derived transforming sequence like","H7C275"
"MCF2L",-0.0516098757641976,4,"13934-3","MCF.2 cell line derived transforming sequence like","H7C275"
"MCF2L",-0.252892046254931,5,"13934-3","MCF.2 cell line derived transforming sequence like","H7C275"
"PCOLCE2",-0.0963414951202871,5,"6081-52","procollagen C-endopeptidase enhancer 2","B2RCH9"
"PTPN1",0.0648997724668615,4,"3005-5","protein tyrosine phosphatase non-receptor type 1","B4DSN5"
"QPCTL",-0.251115924513502,5,"8866-53","glutaminyl-peptide cyclotransferase like","Q9NXS2"
"QPCTL",-0.0432587397850562,3,"8866-53","glutaminyl-peptide cyclotransferase like","Q9NXS2"
"SCPEP1",-0.060909030143163,4,"23203-3","serine carboxypeptidase 1","B4DP22"
"SPOCK3",-0.0297132552494486,2,"9906-21","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3","B4DFW5"
"TIFA",0.0736181695072481,2,"21113-3","TRAF interacting protein with forkhead associated domain","Q96CG3"
"TLL1",-0.0424234434996115,3,"6383-90","tolloid like 1","O43897"
"TLL1",-0.146089249591015,4,"6383-90","tolloid like 1","O43897"
